Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,description
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,1987,"The TJX Companies, Inc., together with its subsidiaries, operates as an off-price apparel and home fashions retailer. It operates through four segments: Marmaxx, HomeGoods, TJX Canada, and TJX International. The company sells family apparel, including footwear and accessories; home fashions, such as home basics, furniture, rugs, lighting products, giftware, soft home products, decorative accessories, tabletop, and cookware, as well as expanded pet, kids, and gourmet food departments; fine jewelry and accessories; and other merchandise. As of March 30, 2021, it operated 1,271 T.J. Maxx, 1,131 Marshalls, 821 HomeGoods, 48 Sierra, and 34 Homesense stores, as well as tjmaxx.com, marshalls.com, and sierra.com in the United States; 280 Winners, 143 HomeSense, and 102 Marshalls stores in Canada; 602 T.K. Maxx and 78 Homesense stores, as well as tkmaxx.com in Europe; and 62 T.K. Maxx stores in Australia. The company was founded in 1956 and is headquartered in Framingham, Massachusetts."
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,1938,"Tractor Supply Company operates as a rural lifestyle retailer in the United States. The company offers a selection of merchandise, including equine, livestock, pet, and small animal products necessary for their health, care, growth, and containment; hardware, truck, towing, and tool products; seasonal products, such as heating products, lawn and garden items, power equipment, gifts, and toys; work/recreational clothing and footwear; and maintenance products for agricultural and rural use. It provides its products under the 4health, Producer's Pride, American Farmworks, Red Shed, Bit & Bridle, Redstone, Blue Mountain, Retriever, C.E. Schmidt, Ridgecut, Countyline, Royal Wing, Dumor, Strive, Groundwork, Traveller, Huskee, Treeline, JobSmart, TSC Tractor Supply Co, Paws & Claws, and Untamed brands. As of December 26, 2020, it operated 1,923 Tractor Supply and Del's retail stores in 49 states, as well as 182 Petsense stores in 25 states. The company operates its retail stores under the Tractor Supply Company, Del's Feed & Farm Supply, and Petsense names. It also operates websites under the TractorSupply.com and Petsense.com names. The company sells its products to recreational farmers, ranchers, and others, as well as tradesmen and small businesses. The company was founded in 1938 and is based in Brentwood, Tennessee."
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",11/17/2010,1871,"Trane Technologies plc, together with its subsidiaries, designs, manufactures, sells, and services climate control products for heating, ventilation, air conditioning, and transport solutions. It offers air conditioners, exchangers, and handlers; airside and terminal devices; auxiliary power units; chillers; coils and condensers; gensets; furnaces; heat pumps; home automation products; humidifiers; hybrid and non-diesel transport refrigeration, and ice energy storage solutions; indoor air quality assessments and related products; large and light commercial unitary products; motor replacements; refrigerant reclamation products; thermostats/controls; transport heater products; variable refrigerant flow products; and water source heat pumps. The company also provides building management, control, ductless, geothermal, package heating and cooling, temporary heating and cooling, and unitary systems; bus, rail, and multi-pipe heating, ventilation, and air conditioning systems; and container, cryogenic, diesel-powered, electric-powered trailer and truck, hybrid-powered trailer, industrial, rail, self-powered truck, trailer, and vehicle-powered truck refrigeration systems, as well as aftermarket and OEM parts and supplies. In addition, it offers energy and facility management, installation and performance contracting, repair and maintenance, and rental services. Trane Technologies plc markets and sells its products under the Trane, Thermo King, and American Standard brands through sales offices, distributors, and dealers in the United States; and through sales and service companies with a supporting chain of distributors worldwide. The company was formerly known as Ingersoll-Rand Plc and changed its name to Trane Technologies plc in March 2020. Trane Technologies plc was founded in 1885 and is headquartered in Swords, Ireland."
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1993,"TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United States and internationally. Its Power & Control segment offers mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, specialized pumps and valves, power conditioning devices, specialized AC/DC electric motors and generators, batteries and chargers, databus and power controls, sensor products, switches and relay panels, hoists, winches and lifting devices, and cargo loading and handling systems. This segment serves engine and power system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. The company's Airframe segment provides engineered latching and locking devices, engineered rods, engineered connectors and elastomer sealing solutions, cockpit security components and systems, cockpit displays, aircraft audio systems, lavatory components, seat belts and safety restraints, engineered and customized interior surfaces and related components, thermal protection and insulation products, lighting and control technology, and parachutes. This segment serves airframe manufacturers, cabin system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. Its Non-aviation segment offers headsets for high-noise, medium-noise, and dismounted applications; seat belts and safety restraints for ground transportation applications; hydraulic/electromechanical actuators and fuel valves for land based gas turbines; refueling systems for heavy equipment used in mining, construction, and other industries; and turbine controls for the energy and oil and gas markets. This segment serves off-road vehicle and subsystem suppliers, child restraint system suppliers, and satellite and space system suppliers; and manufacturers of heavy equipment. TransDigm Group Incorporated was founded in 1993 and is based in Cleveland, Ohio."
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",8/21/2002,1853,"The Travelers Companies, Inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the United states and internationally. The company operates through three segments: Business Insurance, Bond & Specialty Insurance, and Personal Insurance. The Business Insurance segment offers workers' compensation, commercial automobile and property, general liability, commercial multi-peril, employers' liability, public and product liability, professional indemnity, marine, aviation, onshore and offshore energy, construction, terrorism, personal accident, and kidnap and ransom insurance products. This segment operates through select accounts, which serve small businesses; commercial accounts that serve mid-sized businesses; national accounts, which serve large companies; and national property and other that serve large and mid-sized customers, commercial trucking industry, and agricultural businesses, as well as markets and distributes its products through brokers, wholesale agents, program managers, and specialized retail agents. The Bond & Specialty Insurance segment provides surety, fidelity, management and professional liability, and other property and casualty insurance products through independent agencies and brokers. The Personal Insurance segment offers property and casualty insurance covering personal risks, primarily automobile and homeowners insurance to individuals through independent agencies and brokers. The Travelers Companies, Inc. was founded in 1853 and is based in New York, New York."
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/2021,1978,"Trimble Inc. provides technology solutions that enable professionals and field mobile workers to enhance or transform their work processes worldwide. It operates through four segments: Buildings and Infrastructure, Geospatial, Resources and Utilities, and Transportation. The Buildings and Infrastructure segment offers field and office software for route selection and design; systems to guide and control construction equipment; systems to monitor, track, and manage assets, equipment, and workers; software to share and communicate data; program management solutions for construction owners; 3D conceptual design and modeling software; building information modeling software; integrated site layout and measurement systems; cost estimating, scheduling, and project controls solutions; and applications for sub-contractors and trades. The Geospatial segment provides surveying and geospatial products, and geographic information systems. The Resources and Utilities segment offers precision agriculture products and services, such as guidance and positioning systems, automated and variable-rate application and technology systems, and information management solutions. This segment also provides manual and automated navigation guidance for tractors and other farm equipment; solutions to automate application of pesticide and seeding; water solutions; and agricultural software. The Transportation segment offers solutions for long haul trucking and freight shipper markets; mobility solutions, including route management, safety and compliance, end-to-end vehicle management, video intelligence, and supply chain communications; and fleet and transportation management systems, analytics, routing, mapping, reporting, and predictive modeling solution under Trimble brand name. The company was formerly known as Trimble Navigation Limited and changed its name to Trimble Inc. in October 2016. Trimble Inc. was founded in 1978 and is headquartered in Sunnyvale, California."
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",12/4/1997,1872,"Truist Financial Corporation, a holding company, provides banking and trust services in the Southeastern and Mid-Atlantic United States. The company operates through three segments: Consumer Banking and Wealth, Corporate and Commercial Banking, and Insurance Holdings. Its deposit products include noninterest-bearing checking, interest-bearing checking, savings, and money market deposit accounts, as well as certificates of deposit and individual retirement accounts. The company also provides funding; asset management; automobile lending; bankcard lending; consumer finance; home equity and mortgage lending; insurance, such as property and casualty, life, health, employee benefits, workers compensation and professional liability, surety coverage, title, and other insurance products; investment brokerage; mobile/online banking; and payment, lease financing, small business lending, and wealth management/private banking services. In addition, it offers association, capital market, institutional trust, insurance premium and commercial finance, international banking, leasing, merchant, commercial deposit and treasury, government finance, commercial middle market lending, small business and student lending, floor plan and commercial mortgage lending, mortgage warehouse lending, private equity investment, real estate lending, and supply chain financing services. Further, the company provides corporate and investment banking, retail and wholesale brokerage, securities underwriting, and investment advisory services. As of December 31, 2020, the company operated through 2,781 banking offices. The company was formerly known as BB&T Corporation and changed its name to Truist Financial Corporation in December 2019. Truist Financial Corporation was founded in 1872 and is headquartered in Charlotte, North Carolina."
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",6/22/2020,1966,"Tyler Technologies, Inc. provides integrated information management solutions and services for the public sector in the United States and internationally. The company operates in two segments, Enterprise Software, and Appraisal and Tax. It offers financial management solutions, including modular fund accounting systems for government agencies or not-for-profit entities; utility billing systems for the billing and collection of metered and non-metered services; products to automate city and county functions, such as municipal courts, parking tickets, equipment and project costing, animal and business licenses, permits and inspections, code enforcement, citizen complaint tracking, ambulance billing, fleet maintenance, and cemetery records management; and student information and transportation solutions for K-12 schools. The company also provides a suite of judicial solutions comprising court case management, court and law enforcement, prosecutor, and supervision systems to handle multi-jurisdictional county or statewide implementations, and single county systems; public safety software solutions; systems and software to automate the appraisal and assessment of real and personal property, as well as tax applications for agencies that bill and collect taxes; planning, regulatory, and maintenance software solutions for public sector agencies; software applications to enhance and automate operations involving records and document management; and data and insights solutions. In addition, it offers software as a service arrangements and electronic document filing solutions for courts and law offices; software and hardware installation, data conversion, training, product modification, and maintenance and support services; and property appraisal outsourcing services for taxing jurisdictions. Tyler Technologies, Inc. has a strategic collaboration agreement with Amazon Web Services for cloud hosting services. The company was founded in 1966 and is headquartered in Plano, Texas."
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/2005,1935,"Tyson Foods, Inc., together with its subsidiaries, operates as a food company worldwide. It operates through four segments: Beef, Pork, Chicken, and Prepared Foods. The company processes live fed cattle and live market hogs; fabricates dressed beef and pork carcasses into primal and sub-primal meat cuts, as well as case ready beef and pork, and fully-cooked meats; raises and processes chickens into fresh, frozen, and value-added chicken products; and supplies poultry breeding stock; sells specialty products , such as hides and meats. It also manufactures and markets frozen and refrigerated food products, including ready-to-eat sandwiches, flame-grilled hamburgers, Philly steaks, pepperoni, bacon, breakfast sausage, turkey, lunchmeat, hot dogs, flour and corn tortilla products, appetizers, snacks, prepared meals, ethnic foods, side dishes, meat dishes, breadsticks, and processed meats under the Jimmy Dean, Hillshire Farm, Ball Park, Wright, State Fair, Aidells, and Gallo Salame brands. The company also offers its products under Tyson and ibp brands. It sells its products through its sales staff to grocery retailers, grocery wholesalers, meat distributors, warehouse club stores, military commissaries, industrial food processing companies, chain restaurants or their distributors, live markets, international export companies, and domestic distributors who serve restaurants and foodservice operations, such as plant and school cafeterias, convenience stores, hospitals, and other vendors, as well as through independent brokers and trading companies. The company was founded in 1935 and is headquartered in Springdale, Arkansas."
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968,"U.S. Bancorp, a financial services holding company, provides various financial services in the United States. It operates in Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support segments. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as cash and investment management, ATM processing, mortgage banking, and brokerage and leasing services. As of December 31, 2020, the company provided its products and services through a network of 2,434 banking offices principally operating in the Midwest and West regions of the United States, as well as through online services and over mobile devices; and operated a network of 4,232 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota."
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,1972,"UDR, Inc. (NYSE: UDR), an S&P 500 company, is a leading multifamily real estate investment trust with a demonstrated performance history of delivering superior and dependable returns by successfully managing, buying, selling, developing and redeveloping attractive real estate communities in targeted U.S. markets. As of September 30, 2020, UDR owned or had an ownership position in 51,649 apartment homes including 1,031 homes under development. For over 48 years, UDR has delivered long-term value to shareholders, the best standard of service to Residents and the highest quality experience for Associates."
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1990,"Ulta Beauty, Inc. operates as a retailer of beauty products in the United States. The company's stores offer cosmetics, fragrances, skincare and haircare products, bath and body products, and salon styling tools; professional hair products; salon services, including hair, skin, makeup, and brow services; and others, including nail products and accessories. It also provides its private label products, such as the Ulta Beauty Collection branded cosmetics, skincare, and bath products, as well as Ulta Beauty branded products; and the Ulta Beauty branded gifts. As of January 30, 2021, the company operated 1,264 retail stores across 50 states. It also distributes its products through its Website, ulta.com; and mobile applications. The company was formerly known as Ulta Salon, Cosmetics & Fragrance, Inc. and changed its name to Ulta Beauty, Inc. in January 2017. Ulta Beauty, Inc. was founded in 1990 and is based in Bolingbrook, Illinois."
UNP,Union Pacific Corporation,Industrials,Railroads,"Omaha, Nebraska",3/4/1957,1862,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, engages in the railroad business in the United States. The company offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, ethanol producers, and other agricultural users; coal and sand, petroleum, and liquid petroleum gases; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, and soda ash, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. As of December 31, 2020, its rail network included 32,313 route miles connecting Pacific Coast and Gulf Coast ports with the Midwest and Eastern United States gateways. The company was founded in 1862 and is headquartered in Omaha, Nebraska."
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/2015,1967,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also sells fuel; and offers catering, ground handling, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. is headquartered in Chicago, Illinois."
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/2002,1907,"United Parcel Service, Inc. provides letter and package delivery, transportation, logistics, and financial services. It operates through three segments: U.S. Domestic Package, International Package, and Supply Chain & Freight. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services in Europe, the Asia Pacific, Canada and Latin America, the Indian sub-continent, the Middle East, and Africa. This segment offers guaranteed time-definite express options. The Supply Chain & Freight segment provides international air and ocean freight forwarding, customs brokerage, distribution and post-sales, and mail and consulting services in approximately 200 countries and territories; and less-than-truckload and truckload services to customers in North America. This segment also offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industry; shipping, visibility, and billing technologies; and financial and insurance services. The company operates a fleet of approximately 127,000 package cars, vans, tractors, and motorcycles; and owns 58,000 containers that are used to transport cargo in its aircraft. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia."
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1997,"United Rentals, Inc., through its subsidiaries, operates as an equipment rental company. It operates in two segments, General Rentals; and Trench, Power and Fluid Solutions. The General Rentals segment rents general construction and industrial equipment, including backhoes, skid-steer loaders, forklifts, earthmoving equipment, and material handling equipment; aerial work platforms, such as boom lifts and scissor lifts; and general tools and light equipment comprising pressure washers, water pumps, and power tools. It serves construction and industrial companies, manufacturers, utilities, municipalities, homeowners, and government entities. The Trench, Power and Fluid Solutions segment rents specialty construction products that include trench safety equipment, which comprise trench shields, aluminum hydraulic shoring systems, slide rails, crossing plates, construction lasers, and line testing equipment for underground work; and power, as well as heating, ventilating, and air conditioning equipment, including portable diesel generators, electrical distribution equipment, and temperature control equipment. It is also involved in the rental of fluid solutions equipment primarily used for fluid containment, transfer, and treatment. This segment serves construction companies involved in infrastructure projects, and municipalities and industrial companies. The company also sells aerial lifts, reach forklifts, telehandlers, compressors, and generators; construction consumables, tools, small equipment, and safety supplies; and parts for equipment that is owned by its customers, as well as provides repair and maintenance services. United Rentals, Inc. sells its used equipment through its sales force, brokers, and Website, as well as at auctions and directly to manufacturers. As of January 1, 2021, the company operated a network of 1,165 rental locations, including 1,018 of these locations are in the United States, 136 are in Canada, and 11 are in Europe. United Rentals, Inc. was founded in 1997 and is headquartered in Stamford, Connecticut."
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,1977,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. It operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health and well-being services to individuals age 50 and older, addressing their needs for preventive and acute health care services, as well as services dealing with chronic disease and other specialized issues for older individuals; Medicaid plans, children's health insurance program, and health care programs; medical and dental benefits; and hospital and clinical services. The OptumHealth segment provides access to networks of care provider specialists, health management services, care delivery, consumer engagement, and financial services. This segment serves individuals directly through care delivery systems, employers, payers, and government entities. The OptumInsight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The OptumRx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and compounding pharmacy, and purchasing and clinical, as well as develops programs in areas, such as step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated has partnership with the University of California, San Francisco to expand the mental health workforce in California. UnitedHealth Group Incorporated was incorporated in 1977 and is based in Minnetonka, Minnesota."
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,1979,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, and outpatient and behavioral health care facilities. The company operates through Acute Care Hospital Services and Behavioral Health Care Services segments. Its hospitals offer general and specialty surgery, internal medicine, obstetrics, emergency room care, radiology, oncology, diagnostic care, coronary care, pediatric services, pharmacy services, and/or behavioral health services. As of February 25, 2021, it owned and/or operated 360 inpatient facilities, and 39 outpatient and other facilities located in 38 states; Washington, D.C.; the United Kingdom; and Puerto Rico. The company also provides commercial health insurance services. Universal Health Services, Inc. founded in 1978 and is headquartered in King of Prussia, Pennsylvania."
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",12/20/2002,1980,"Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas."
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,1998,"Ventas, an S&P 500 company, operates at the intersection of two powerful and dynamic industries Â healthcare and real estate. As one of the world's foremost Real Estate Investment Trusts (REIT), we use the power of capital to unlock the value of real estate, partnering with leading care providers, developers, research and medical institutions, innovators and healthcare organizations whose success is buoyed by the demographic tailwind of an aging population. For more than twenty years, Ventas has followed a successful strategy that endures: combining a high-quality diversified portfolio of properties and capital sources to manage through cycles, working with industry leading partners, and a collaborative and experienced team focused on producing consistent growing cash flows and superior returns on a strong balance sheet, ultimately rewarding Ventas shareholders. As of September 30, 2020, Ventas owned or managed through unconsolidated joint ventures approximately 1,200 properties."
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1995,"VeriSign, Inc., together with its subsidiaries, provides domain name registry services and internet infrastructure that enables internet navigation for various recognized domain names worldwide. It enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which support global e-commerce. VeriSign, Inc. was incorporated in 1995 and is headquartered in Reston, Virginia."
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,1971,"Verisk Analytics, Inc. provides data analytics solutions in the United States and internationally. It provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, natural resources intelligence, economic forecasting, commercial banking and finance, and various other fields. The company operates through three segments: Insurance, Energy and Specialized Markets, and Financial Services. The Insurance segment focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty customers. It also develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The Energy and Specialized Markets segment provides data analytics for the natural resources value chain, including energy, chemicals, metals, mining, power, and renewables sectors; research and consulting services focusing on exploration strategies and screening, asset development and acquisition, commodity markets, and corporate analysis; and consultancy services in the areas of business environment, business improvement, business strategies, commercial advisory, and transaction support, as well as analysis and advice on assets, companies, governments, and markets. The Financial Services segment offers benchmarking, decisioning algorithms, business intelligence, and customized analytic services to financial institutions, payment networks and processors, alternative lenders, regulators, and merchants. The company was founded in 1971 and is headquartered in Jersey City, New Jersey."
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/1983,1983 (1877),"Verizon Communications Inc. offers communications, technology, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. Its Consumer segment provides postpaid and prepaid service plans; internet access on notebook computers and tablets; wireless equipment, including smartphones and other handsets; and wireless-enabled internet devices, such as tablets, and other wireless-enabled connected devices, such as smart watches. It also provides residential fixed connectivity solutions, including internet, video, and voice services; and sells network access to mobile virtual network operators. As of December 31, 2020, it had approximately 94 million wireless retail connections, 7 million broadband connections, and 4 million Fios video connections. The company's Business segment provides network connectivity products, including private networking, private cloud connectivity, virtual and software defined networking, and internet access services; and internet protocol-based voice and video services, unified communications and collaboration tools, and customer contact center solutions. This segment also offers a suite of management and data security services; domestic and global voice and data solutions, including voice calling, messaging services, conferencing, contact center solutions, and private line and data access networks; customer premises equipment; installation, maintenance, and site services; and Internet of Things products and services. As of December 31, 2020, it had approximately 27 million wireless retail postpaid connections and 482 thousand broadband connections. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was incorporated in 1983 and is headquartered in New York, New York."
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,1989,"Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis. The company markets SYMDEKO/SYMKEVI, ORKAMBI, and KALYDECO to treat patients with cystic fibrosis who have specific mutations in their cystic fibrosis transmembrane conductance regulator gene; and TRIKAFTA for the treatment of patients with CF 12 years of age or older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator, or CFTR, gene. Its pipeline includes Pipeline for Alpha-1 antitrypsin deficiency that is in Phase 2 clinical trial; VX-864, a second investigational small molecule corrector for the treatment of AAT deficiency, which is in Phase 1 clinical trial; and VX-147 that completed a Phase 1 clinical trial for the treatment of APOL1-mediated focal segmental glomerulosclerosis, or FSGS, and other serious kidney diseases. The company sells its products primarily to specialty pharmacy and specialty distributors in the United States, as well as specialty distributors and retail chains, and hospitals and clinics internationally. Vertex Pharmaceuticals Incorporated has collaborations with CRISPR Therapeutics AG; Arbor Biotechnologies, Inc.; Moderna, Inc.; Genomics plc; Merck KGaA; Darmstadt, Germany; X-Chem, Inc.; Janssen Pharmaceuticals, Inc.; Merck KGaA; Kymera Therapeutics; Ribometrix, Inc.; Molecular Templates, Inc.; and Affinia Therapeutics, as well as a strategic research collaboration and licensing agreement with Obsidian Therapeutics, Inc. for the discovery of novel therapies that regulate gene editing for the treatment of serious diseases. The company was founded in 1989 and is headquartered in Boston, Massachusetts."
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/1979,1899,"V.F. Corporation engages in the design, production, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through four segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; equipment; accessories; outdoor lifestyle, performance-based, youth culture/action sports-inspired, and protective work footwear; handbags, luggage, backpacks, totes, and travel accessories; and work and work-inspired lifestyle apparel and footwear. It provides its products under the North Face, Timberland, Icebreaker, Smartwool, Altra, Vans, Kipling, Napapijri, Eastpak, JanSport, Eagle Creek, Dickies, Timberland PRO. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms V.F. Corporation was founded in 1899 and is based in Greenwood Village, Colorado."
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/2004,1961,"Viatris Inc., a healthcare company, develops, licenses, manufactures, markets, and distributes brand and generic drugs, complex generics, biosimilars, and active pharmaceutical ingredients (APIs) worldwide. The company operates through Developed Markets, Greater China, JANZ, and Emerging Markets segments. It offers drugs in various therapeutic areas, including infectious diseases and non-communicable diseases; HIV/AIDS; and oncology, immunology, endocrinology, ophthalmology, and dermatology, as well as antibacterial, central nervous system agents, antihistamines/antiasthmatics, cardiovascular, antivirals, antidiabetics, antifungals, and proton pump inhibitor areas. The company provides medicines, such as Wixela, Inhub, ADVAIR DISKUS, glatiramer acetate injection, Copaxone, and over the counter products in the form of oral solid doses, injectables, complex dosage forms, and APIs to retail and pharmacy establishments, wholesalers and distributors, payers, insurers and governments, and institutions; and support services, such as diagnostic clinics, educational seminars, and digital tools to help patients better manage their health. It distributes its products through pharmaceutical wholesalers/distributors, pharmaceutical retailers, institutional pharmacies, mail-order and e-commerce pharmacies, and specialty pharmacies. The company sells its products under the Lyrica, Lipitor, Creon, Influvac, Wixela Inhub, and EpiPen auto-injector; Norvasc and Viagra; AMITIZA, Lipacreon, and Effexor; Trastuzumab injection; and Celebrex and anti-retrovirals names, as well as offers biosimilars franchises, including Fulphila, Ogivri, and Hulio. Viatris Inc. has collaboration and licensing agreements with Revance Therapeutics, Inc.; Momenta Pharmaceuticals, Inc.; Theravance Biopharma, Inc.; Biocon Ltd.; and Fujifilm Kyowa Kirin Biologics Co. Ltd. The company was founded in 1961 and is based in Canonsburg, Pennsylvania."
